date,title,text,sentiment,compound,positive,negative,neutral
2024-04-23,Nifty 50 Hits All-Time High as IT Stocks Rally,"The Nifty 50 index reached a new all-time high today, driven by strong performance in IT stocks following positive quarterly results from major tech companies. Analysts remain bullish on the market outlook.",positive,0.8765,0.32,0.05,0.63
2024-04-22,Banking Stocks Lead Nifty 50 Gains,"Banking stocks led the gains in Nifty 50 today as investors responded positively to the RBI's latest policy announcements. HDFC Bank and ICICI Bank were among the top performers.",positive,0.6543,0.28,0.07,0.65
2024-04-21,Market Sentiment Improves as Inflation Concerns Ease,"Market sentiment improved significantly as the latest inflation data showed signs of easing, reducing concerns about aggressive rate hikes. The Nifty 50 closed higher by 1.2%.",positive,0.7123,0.30,0.06,0.64
2024-04-20,Nifty 50 Consolidates After Recent Rally,"The Nifty 50 index consolidated today after the recent rally, with mixed performance across sectors. Analysts suggest this is a healthy pause before the next leg up.",neutral,0.1234,0.15,0.12,0.73
2024-04-19,Auto Stocks Drag Nifty 50 Lower on Supply Chain Concerns,"Auto stocks dragged the Nifty 50 lower today as concerns about global supply chain disruptions resurfaced. Maruti Suzuki and Tata Motors were among the biggest losers.",negative,-0.5432,0.08,0.25,0.67
2024-04-18,Pharma Stocks Shine as Nifty 50 Ends Flat,"Pharmaceutical stocks shined today even as the broader Nifty 50 index ended flat. Sun Pharma and Dr. Reddy's Labs reported strong gains on positive drug trial results.",positive,0.4321,0.22,0.09,0.69
2024-04-17,Nifty 50 Declines on Global Cues,"The Nifty 50 declined today following weak global cues, particularly from US markets. Technology and metal stocks were the worst performers.",negative,-0.6789,0.07,0.28,0.65
2024-04-16,Oil Price Surge Impacts Nifty 50 Sentiment,"A surge in global oil prices negatively impacted market sentiment today, with the Nifty 50 closing lower. Energy stocks were mixed while airlines and FMCG stocks faced selling pressure.",negative,-0.4567,0.09,0.24,0.67
2024-04-15,Nifty 50 Rebounds on Strong IIP Data,"The Nifty 50 rebounded strongly today after the release of better-than-expected Industrial Production (IIP) data. Capital goods and manufacturing stocks led the gains.",positive,0.7654,0.31,0.06,0.63
2024-04-14,FII Buying Boosts Nifty 50,"Foreign Institutional Investors (FIIs) turned net buyers, providing a significant boost to the Nifty 50 index. Banking and financial services stocks were the major beneficiaries.",positive,0.6789,0.29,0.07,0.64
2024-04-13,Nifty 50 Volatile Ahead of Earnings Season,"The Nifty 50 remained volatile today as investors positioned themselves ahead of the quarterly earnings season. Market breadth remained positive despite the volatility.",neutral,0.2345,0.18,0.11,0.71
2024-04-12,IT Stocks Under Pressure as Nifty 50 Declines,"IT stocks came under pressure following disappointing guidance from a major US tech company, dragging the Nifty 50 lower. TCS and Infosys were among the top losers.",negative,-0.5678,0.08,0.26,0.66
2024-04-11,Nifty 50 Gains on Positive Global Cues,"The Nifty 50 gained today on positive global cues, particularly from Asian markets. Metal and energy stocks were the top performers.",positive,0.5432,0.25,0.08,0.67
2024-04-10,RBI Policy Boosts Market Sentiment,"The Reserve Bank of India's accommodative policy stance boosted market sentiment, with the Nifty 50 closing higher. Banking and financial stocks rallied significantly.",positive,0.7890,0.32,0.05,0.63
2024-04-09,Nifty 50 Declines on Profit Booking,"The Nifty 50 declined today as investors booked profits after the recent rally. Most sectoral indices ended in the red, with only defensive sectors showing resilience.",negative,-0.3456,0.10,0.22,0.68
