username,text,date,sentiment,compound,positive,negative,neutral
market_guru,"Nifty 50 showing strong bullish momentum with solid support at 22,300 levels. Expecting further upside in the coming weeks.",2024-04-23,positive,0.8432,0.35,0.04,0.61
stock_analyst,"Concerned about Nifty 50 valuations at current levels. Technical indicators suggest overbought conditions, correction likely.",2024-04-22,negative,-0.6543,0.07,0.28,0.65
trading_expert,"Nifty 50 in consolidation phase after recent rally. Wait for breakout above 22,600 for fresh buying opportunities.",2024-04-21,neutral,0.1234,0.15,0.12,0.73
financial_news,"Banking stocks leading the Nifty 50 rally today. HDFC Bank and ICICI Bank showing exceptional strength with positive Q4 results.",2024-04-20,positive,0.7654,0.32,0.05,0.63
market_watcher,"Global headwinds and rising oil prices could put pressure on Nifty 50 in the short term. Approach with caution.",2024-04-19,negative,-0.5432,0.08,0.25,0.67
tech_investor,"IT sector dragging Nifty 50 lower today. TCS and Infosys facing selling pressure after disappointing guidance.",2024-04-18,negative,-0.6789,0.07,0.29,0.64
value_investor,"Nifty 50 fundamentals remain strong despite short-term volatility. Long-term investors should use dips as buying opportunities.",2024-04-17,positive,0.5678,0.26,0.08,0.66
options_trader,"Nifty 50 option chain suggests significant resistance at 22,800. Bulls need to overcome this for the rally to continue.",2024-04-16,neutral,0.2345,0.18,0.11,0.71
market_technician,"RSI and MACD indicators for Nifty 50 showing positive divergence. Expect upward momentum to continue in the near term.",2024-04-15,positive,0.7123,0.30,0.06,0.64
economic_analyst,"India's strong GDP growth and moderating inflation create perfect backdrop for Nifty 50 to reach new highs in coming months.",2024-04-14,positive,0.8765,0.36,0.04,0.60
